timestamp,throughput,loss_rate,rtt
0,9.56,0.056,109.64
1,9.35,0.01,105.85
2,7.48,0.029,42.47
3,2.25,0.037,71.08
4,3.39,0.098,135.57
5,4.67,0.004,70.61
6,6.68,0.007,124.51
7,5.5,0.056,80.19
8,2.98,0.009,149.37
9,5.34,0.085,135.86
10,7.75,0.076,40.81
11,8.34,0.084,135.08
12,6.11,0.033,98.9
13,7.27,0.084,129.15
14,8.73,0.07,73.3
15,4.99,0.09,131.1
16,5.71,0.0,68.43
17,2.55,0.014,130.51
18,5.31,0.086,118.83
19,5.22,0.075,44.5
20,3.67,0.055,78.17
21,9.04,0.029,93.01
22,3.83,0.061,129.35
23,6.06,0.005,37.15
24,5.41,0.089,139.16
25,7.01,0.068,57.58
26,3.75,0.098,92.07
27,2.89,0.076,104.78
28,5.19,0.033,62.87
29,4.34,0.04,134.89
30,3.53,0.043,130.39
31,5.49,0.017,81.39
32,2.87,0.027,50.79
33,4.49,0.077,68.97
34,6.9,0.035,95.94
35,9.28,0.087,147.13
36,8.51,0.081,147.34
37,8.57,0.098,74.97
38,4.22,0.058,138.43
39,6.51,0.062,48.35
40,4.65,0.07,129.06
41,2.65,0.051,118.5
42,2.84,0.098,54.75
43,4.35,0.009,99.83
44,5.92,0.098,143.48
45,8.8,0.056,52.93
46,5.03,0.028,106.75
47,7.4,0.023,147.7
48,3.27,0.065,83.67
49,8.66,0.06,69.91
50,5.04,0.073,32.97
51,2.96,0.041,69.54
52,7.99,0.08,88.94
53,5.35,0.047,66.52
54,7.64,0.096,131.03
55,7.76,0.025,66.7
56,9.32,0.085,97.02
57,6.86,0.007,116.86
58,6.33,0.018,127.82
59,5.12,0.017,30.19
